Date ,Gender,Driving test result,Bmi,Childeren,Salary,region,smoker,age
1/11/2022,female,5,27.9,0,16884.924,southwest,yes,19
1/11/2022,female,4,33.77,1,1725.5523,southeast,no,18
1/11/2022,male,8,33,3,4449.462,southeast,no,28
1/11/2022,male,9,22.705,0,21984.47061,northwest,no,33
1/11/2022,female,4,28.88,0,3866.8552,northwest,no,32
2/11/2022,female,2,25.74,0,3756.6216,southeast,no,31
2/11/2022,female,1,33.44,1,8240.5896,southeast,no,46
1/11/2022,female,1,27.74,3,7281.5056,northwest,no,37
10/11/2022,female,2,29.83,2,6406.4107,northeast,no,37
2/11/2022,male,7,25.84,0,28923.13692,northwest,no,60
8/11/2022,male,6,26.22,0,2721.3208,northeast,no,25
5/11/2022,male,5,26.29,0,27808.7251,southeast,yes,62
3/11/2022,male,8,34.4,0,1826.843,southwest,no,23
5/11/2022,female,4,39.82,0,11090.7178,southeast,no,56
10/11/2022,male,10,42.13,0,39611.7577,southeast,yes,27
3/11/2022,female,2,24.6,1,1837.237,southwest,no,19
9/12/2022,male,9,30.78,1,10797.3362,northeast,no,52
4/12/2022,female,2,23.845,0,2395.17155,northeast,no,23
4/11/2022,male,7,40.3,0,10602.385,southwest,no,56
4/11/2022,female,6,35.3,0,36837.467,southwest,yes,30
4/11/2022,male,9,36.005,0,13228.84695,northeast,no,60
5/11/2022,female,1,32.4,1,4149.736,southwest,no,30
9/11/2022,male,5,34.1,0,1137.011,southeast,no,18
5/11/2022,female,4,31.92,1,37701.8768,northeast,yes,34
10/11/2022,female,9,28.025,2,6203.90175,northwest,no,37
15/11/2022,female,1,27.72,3,14001.1338,southeast,no,59
8/11/2022,male,10,23.085,0,14451.83515,northeast,no,63
15/11/2022,male,2,32.775,2,12268.63225,northwest,no,55
15/11/2022,female,7,17.385,1,2775.19215,northwest,no,23
2/11/2022,male,10,36.3,2,38711,southwest,yes,31
9/12/2022,male,10,35.6,0,35585.576,southwest,yes,22
15/11/2022,female,2,26.315,0,2198.18985,northeast,no,18
9/12/2022,female,2,28.6,5,4687.797,southwest,no,19
15/11/2022,female,1,28.31,0,13770.0979,northwest,no,63
9/12/2022,male,10,36.4,1,51194.55914,southwest,yes,28
15/11/2022,male,10,20.425,0,1625.43375,northwest,no,19
15/11/2022,male,10,32.965,3,15612.19335,northwest,no,62
15/11/2022,female,10,20.8,0,2302.3,southwest,no,26
9/12/2022,male,2,36.67,1,39774.2763,northeast,yes,35
15/11/2022,female,6,39.9,0,48173.361,southwest,yes,60
9/12/2022,female,4,26.6,0,3046.062,northeast,no,24
1/11/2022,male,9,36.63,2,4949.7587,southeast,no,31
